product_url,product_name,price,shortdescription,longdescription,aplus
https://www.amazon.com/dp/B0BPDYXK37,"Champion Men'S Pants, Lightweight Open-Hem Lounge Pants For Men, Jersey Pants (Reg. Or Big & Tall)",$24.50,"THE FIT - Standard-fit men's lounge pants with a 32.5"" inseam.,THE FEEL -These pants are made from soft 6.1 oz. cotton or a cotton blend that is perfect for everyday wear.,THE LOOK - An open-hem creates a laid-back, roomy fit you'll love.,ADDED COMFORT - These men's pants have an internal drawcord for adjustability and comfort.,POCKETS - Two deep side pockets hold lightweight tech.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0BPDXL4JX,"Champion Men'S Pants, Lightweight Open-Hem Lounge Pants For Men, Jersey Pants (Reg. Or Big & Tall)",$24.50,"THE FIT - Standard-fit men's lounge pants with a 32.5"" inseam.,THE FEEL -These pants are made from soft 6.1 oz. cotton or a cotton blend that is perfect for everyday wear.,THE LOOK - An open-hem creates a laid-back, roomy fit you'll love.,ADDED COMFORT - These men's pants have an internal drawcord for adjustability and comfort.,POCKETS - Two deep side pockets hold lightweight tech.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0BPF1G64T,"Champion Men'S Pants, Lightweight Open-Hem Lounge Pants For Men, Jersey Pants (Reg. Or Big & Tall)",$24.50,"THE FIT - Standard-fit men's lounge pants with a 32.5"" inseam.,THE FEEL -These pants are made from soft 6.1 oz. cotton or a cotton blend that is perfect for everyday wear.,THE LOOK - An open-hem creates a laid-back, roomy fit you'll love.,ADDED COMFORT - These men's pants have an internal drawcord for adjustability and comfort.,POCKETS - Two deep side pockets hold lightweight tech.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B01H5MKW5I,"Champion Women's Pants, Jersey Pants, Lightweight, Comfortable Lounge Pants for Women, 31.5"" (Plus Size Available)",$17.00,"THE FIT - Standard-fit lounge pants for plus-size women, with an elastic waistband, adjustable drawcord, and a 31.5"" inseam.,THE FEEL - Comfortable, 5.5 oz. jersey cotton or cotton blend that feels easy on the skin.,THE LOOK - Classic lighter-weight plus-size lounge pants for women made for everyday hangouts.,SPOT THE C - A tonal take on the iconic C logo is at the left hem.,EASY CARE - Machine wash these pants on cold with like colors to reduce energy.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B01H5MKW3K,"Champion Women's Pants, Jersey Pants, Lightweight, Comfortable Lounge Pants for Women, 31.5"" (Plus Size Available)",$17.00,"THE FIT - Standard-fit lounge pants for plus-size women, with an elastic waistband, adjustable drawcord, and a 31.5"" inseam.,THE FEEL - Comfortable, 5.5 oz. jersey cotton or cotton blend that feels easy on the skin.,THE LOOK - Classic lighter-weight plus-size lounge pants for women made for everyday hangouts.,SPOT THE C - A tonal take on the iconic C logo is at the left hem.,EASY CARE - Machine wash these pants on cold with like colors to reduce energy.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0BPDXC7KR,"Champion Women'S Tshirt, Classic Short Sleeve Tshirt Lightweight Tee For Women, Script Logo Plus Size Available",$15.00,"THE FIT - Standard-fit women's t-shirt that hits at the hip.,THE FEEL - Comfortable, 4.5 oz. soft cotton blend.,THE LOOK - Classic graphic t-shirt with a ribbed neckline and sturdy stitching throughout.,THE GRAPHIC - Classic script spans the chest of this casual t-shirt for women.,SPOT THE C - Iconic C patch logo on the sleeve of this women's t-shirt.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0BPDZD27W,"Champion Men's Crewneck, Powerblend Fleece Sweatshirt, Crewneck Sweatshirts (Reg. Or Big & Tall)",$24.35,"THE FIT - Standard-fit crewneck sweatshirt for men for easy, all-day comfort.,THE FEEL - Midweight, 9 oz. warm, and durable fleece thatâ€™s been brushed for softness.,THE LOOK - Pullover crewneck with ribbed cuffs, collar, and hem lend a classic look.,LOW PILL, LOW SHRINK - High-quality fleece fabrication designed to reduce pilling and shrinkage.,THE POWERBLEND COLLECTION - A powerhouse fabric blend thatâ€™s made for the daily with a stay-true fit and comfort that never quits.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0BPDXWBX9,"Champion Men's Crewneck, Powerblend Fleece Sweatshirt, Crewneck Sweatshirts (Reg. Or Big & Tall)",$24.35,"THE FIT - Standard-fit crewneck sweatshirt for men for easy, all-day comfort.,THE FEEL - Midweight, 9 oz. warm, and durable fleece thatâ€™s been brushed for softness.,THE LOOK - Pullover crewneck with ribbed cuffs, collar, and hem lend a classic look.,LOW PILL, LOW SHRINK - High-quality fleece fabrication designed to reduce pilling and shrinkage.,THE POWERBLEND COLLECTION - A powerhouse fabric blend thatâ€™s made for the daily with a stay-true fit and comfort that never quits.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0BPDWWHRZ,"Champion Men's Crewneck, Powerblend Fleece Sweatshirt, Crewneck Sweatshirts (Reg. Or Big & Tall)",$24.35,"THE FIT - Standard-fit crewneck sweatshirt for men for easy, all-day comfort.,THE FEEL - Midweight, 9 oz. warm, and durable fleece thatâ€™s been brushed for softness.,THE LOOK - Pullover crewneck with ribbed cuffs, collar, and hem lend a classic look.,LOW PILL, LOW SHRINK - High-quality fleece fabrication designed to reduce pilling and shrinkage.,THE POWERBLEND COLLECTION - A powerhouse fabric blend thatâ€™s made for the daily with a stay-true fit and comfort that never quits.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0BPDXTKSS,"Champion, Powerblend, Fleece Comfortable Hoodie, Sweatshirt for Men (Reg. Or Big & Tall)",$23.39,"THE FIT - Standard-fit men's hoodie for easy, all-day comfort.,THE FEEL - Crafted with a soft, midweight 9 oz. fleece with a brushed interior for warmth without extra bulk.,THE LOOK - Double-lined, drawcord hood with metal grommets to prevent tearing, stretch ribbed cuffs, and hem with a kanga pocket to keep essentials close.,LOW PILL, LOW SHRINK - High-quality fabric helps to reduce pilling and shrinkage, so this piece can be a longtime favorite.,THE POWERBLEND COLLECTION - A powerhouse fabric blend thatâ€™s made for the daily with a stay-true fit and comfort that never quits.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B01HIUTPPU,"Champion Men's Zip-Up Hoodie, Powerblend, Zip-Up Hoodie Sweatshirt for Men (Reg. or Big & Tall)",$24.95,"THE FIT - Standard-fit men's sweatshirt for easy, all-day comfort,THE FEEL - Crafted with a soft, midweight 9 oz. fleece with a brushed interior for warmth without extra bulk.,THE LOOK - Ribbed cuffs and hem add structure, while the double-lined hood keeps you covered and warm.,LOW PILL, LOW SHRINK - High-quality fabric helps to reduce pilling and shrinkage, so this piece can be a longtime favorite.,THE POWERBLEND COLLECTION - A powerhouse fabric blend thatâ€™s made for the daily with a stay-true fit and comfort that never quits.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B01HIUTK0U,"Champion Men's Zip-Up Hoodie, Powerblend, Zip-Up Hoodie Sweatshirt for Men (Reg. or Big & Tall)",$24.95,"THE FIT - Standard-fit men's sweatshirt for easy, all-day comfort,THE FEEL - Crafted with a soft, midweight 9 oz. fleece with a brushed interior for warmth without extra bulk.,THE LOOK - Ribbed cuffs and hem add structure, while the double-lined hood keeps you covered and warm.,LOW PILL, LOW SHRINK - High-quality fabric helps to reduce pilling and shrinkage, so this piece can be a longtime favorite.,THE POWERBLEND COLLECTION - A powerhouse fabric blend thatâ€™s made for the daily with a stay-true fit and comfort that never quits.,Note: C logo patch color may vary from image.",,
https://www.amazon.com/dp/B0C1576ZZ7,"Champion Men's Zip-Up Hoodie, Powerblend, Zip-Up Hoodie Sweatshirt for Men (Reg. or Big & Tall)",$24.95,"THE FIT - Standard-fit men's sweatshirt for easy, all-day comfort,THE FEEL - Crafted with a soft, midweight 9 oz. fleece with a brushed interior for warmth without extra bulk.,THE LOOK - Ribbed cuffs and hem add structure, while the double-lined hood keeps you covered and warm.,LOW PILL, LOW SHRINK - High-quality fabric helps to reduce pilling and shrinkage, so this piece can be a longtime favorite.,THE POWERBLEND COLLECTION - A powerhouse fabric blend thatâ€™s made for the daily with a stay-true fit and comfort that never quits.,Note: C logo patch color may vary from image.",,
